id,title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres
7345,There Will Be Blood,8.085,5985,26/12/2007,77208711,158,25000000,28.909,Drama
364,Batman Returns,6.913,5985,19/06/1992,280000000,126,80000000,29.261,"Action, Fantasy"
43074,Ghostbusters,5.371,5976,14/07/2016,229147509,117,144000000,40.052,"Action, Fantasy, Comedy"
2649,The Game,7.56,5975,12/09/1997,109423648,129,50000000,24.586,"Drama, Thriller, Mystery"
44896,Rango,6.825,5969,02/03/2011,245724603,107,135000000,69.598,"Animation, Comedy, Family, Western, Adventure"
676,Pearl Harbor,6.932,5944,21/05/2001,449220945,183,140000000,33.063,"War, History, Romance, Drama"
109414,This Is the End,6.222,5941,12/06/2013,126041322,107,32000000,37.315,"Action, Comedy"
320288,Dark Phoenix,5.994,5941,05/06/2019,252442974,114,200000000,42.341,"Fantasy, Science Fiction, Action, Adventure"
51540,Horrible Bosses,6.565,5940,08/07/2011,209838559,98,35000000,25.142,"Comedy, Crime"
10555,Shark Tale,6.023,5923,20/09/2004,367275019,90,75000000,42.747,"Animation, Action, Comedy, Family"
200727,"Love, Rosie",7.837,5918,16/10/2014,4439431,102,0,29.428,"Romance, Drama, Comedy"
258489,The Legend of Tarzan,5.9,5917,29/06/2016,356743061,109,180000000,27.807,"Fantasy, Action, Adventure"
2454,The Chronicles of Narnia: Prince Caspian,6.616,5916,15/05/2008,419665568,150,225000000,39.516,"Adventure, Family, Fantasy"
1933,The Others,7.612,5916,02/08/2001,209947037,101,17000000,40.216,"Horror, Mystery, Thriller"
567,Rear Window,8.359,5893,01/08/1954,37034514,112,1000000,27.612,"Thriller, Mystery"
206487,Predestination,7.442,5889,28/08/2014,4942449,97,5500000,30.577,"Science Fiction, Thriller"
207932,Inferno,6.1,5888,13/10/2016,220021259,121,75000000,24.901,"Mystery, Thriller, Action"
270303,It Follows,6.56,5882,24/09/2014,14674076,101,2000000,35.095,"Horror, Mystery"
80278,The Impossible,7.363,5880,09/09/2012,198087212,113,45000000,21.538,"Adventure, Drama, Thriller"
22881,The Blind Side,7.692,5868,20/11/2009,309208309,129,29000000,35.267,Drama
57214,Project X,6.844,5867,01/03/2012,102731865,88,12000000,60.327,Comedy
18823,Clash of the Titans,5.882,5863,26/03/2010,493214993,106,125000000,36.011,"Adventure, Fantasy, Action"
341013,Atomic Blonde,6.4,5860,26/07/2017,100014025,115,30000000,19.968,"Action, Thriller"
298,Ocean's Thirteen,6.72,5859,05/06/2007,311312624,122,85000000,31.629,"Crime, Thriller"
203801,The Man from U.N.C.L.E.,7.087,5852,13/08/2015,108145109,116,75000000,25.534,"Comedy, Action, Adventure"
2059,National Treasure,6.605,5850,19/11/2004,347512318,131,100000000,29.091,"Adventure, Action, Thriller, Mystery"
86834,Noah,5.653,5846,07/03/2014,362637473,138,125000000,28.882,"Drama, Adventure"
184,Jackie Brown,7.353,5824,25/12/1997,39673162,154,12000000,22.8,Crime
